id,hotel_id,hotel_name,address,facilities_id,facilities_name,dateOfactive
1,1001,Test Hotel 1,Some Address in Dubai,1,AC,02-10-2002
1,1001,Test Hotel 1,Some Address in Dubai,2,NONAC,02-10-2002
1,1001,Test Hotel 1,Some Address in Dubai,3,FREEPARKING,02-10-2002
2,1002,Test Hotel 2,Some Address in Dubai,1,AC,02-10-2002
2,1002,Test Hotel 2,Some Address in Dubai,2,NONAC,02-10-2002
2,1002,Test Hotel 2,Some Address in Dubai,3,FREEPARKING,02-10-2002
3,1003,Test Hotel 3,Some Address in Dubai,1,AC,02-10-2002
3,1003,Test Hotel 3,Some Address in Dubai,2,NONAC,02-10-2002
3,1003,Test Hotel 3,Some Address in Dubai,3,FREEPARKING,02-10-2002
4,1004,Test Hotel 4,Some Address in Dubai,1,AC,02-10-2002
4,1004,Test Hotel 4,Some Address in Dubai,2,NONAC,02-10-2002
4,1004,Test Hotel 4,Some Address in Dubai,3,FREEPARKING,02-10-2002
5,1005,Test Hotel 5,Some Address in Dubai,1,AC,02-10-2002
5,1005,Test Hotel 5,Some Address in Dubai,2,NONAC,02-10-2002
5,1005,Test Hotel 5,Some Address in Dubai,3,FREEPARKING,02-10-2002
6,1006,Test Hotel 6,Some Address in Dubai,1,AC,02-10-2002
6,1006,Test Hotel 6,Some Address in Dubai,2,NONAC,02-10-2002
6,1006,Test Hotel 6,Some Address in Dubai,3,FREEPARKING,02-10-2002
7,1007,Test Hotel 7,Some Address in Dubai,1,AC,02-10-2002
7,1007,Test Hotel 7,Some Address in Dubai,2,NONAC,02-10-2002
7,1007,Test Hotel 7,Some Address in Dubai,3,FREEPARKING,02-10-2002
8,1008,Test Hotel 8,Some Address in Dubai,1,AC,02-10-2002
8,1008,Test Hotel 8,Some Address in Dubai,2,NONAC,02-10-2002
8,1008,Test Hotel 8,Some Address in Dubai,3,FREEPARKING,02-10-2002
9,1009,Test Hotel 9,Some Address in Dubai,1,AC,02-10-2002
9,1009,Test Hotel 9,Some Address in Dubai,2,NONAC,02-10-2002
9,1009,Test Hotel 9,Some Address in Dubai,3,FREEPARKING,02-10-2002
10,1010,Test Hotel 10,Some Address in Dubai,1,AC,02-10-2002
10,1010,Test Hotel 10,Some Address in Dubai,2,NONAC,02-10-2002
10,1010,Test Hotel 10,Some Address in Dubai,3,FREEPARKING,02-10-2002
11,1011,Test Hotel 11,Some Address in Dubai,1,AC,02-10-2002
11,1011,Test Hotel 11,Some Address in Dubai,2,NONAC,02-10-2002
11,1011,Test Hotel 11,Some Address in Dubai,3,FREEPARKING,02-10-2002
12,1012,Test Hotel 12,Some Address in Dubai,1,AC,02-10-2002
12,1012,Test Hotel 12,Some Address in Dubai,2,NONAC,02-10-2002
12,1012,Test Hotel 12,Some Address in Dubai,3,FREEPARKING,02-10-2002
13,1013,Test Hotel 13,Some Address in Dubai,1,AC,02-10-2002
13,1013,Test Hotel 13,Some Address in Dubai,2,NONAC,02-10-2002
13,1013,Test Hotel 13,Some Address in Dubai,3,FREEPARKING,02-10-2002
14,1014,Test Hotel 14,Some Address in Dubai,1,AC,02-10-2002
14,1014,Test Hotel 14,Some Address in Dubai,2,NONAC,02-10-2002
14,1014,Test Hotel 14,Some Address in Dubai,3,FREEPARKING,02-10-2002
15,1015,Test Hotel 15,Some Address in Dubai,1,AC,02-10-2002
15,1015,Test Hotel 15,Some Address in Dubai,2,NONAC,02-10-2002
15,1015,Test Hotel 15,Some Address in Dubai,3,FREEPARKING,02-10-2002
16,1016,Test Hotel 16,Some Address in Dubai,1,AC,02-10-2002
16,1016,Test Hotel 16,Some Address in Dubai,2,NONAC,02-10-2002
16,1016,Test Hotel 16,Some Address in Dubai,3,FREEPARKING,02-10-2002
17,1017,Test Hotel 17,Some Address in Dubai,1,AC,02-10-2002
17,1017,Test Hotel 17,Some Address in Dubai,2,NONAC,02-10-2002
17,1017,Test Hotel 17,Some Address in Dubai,3,FREEPARKING,02-10-2002
18,1018,Test Hotel 18,Some Address in Dubai,1,AC,02-10-2002
18,1018,Test Hotel 18,Some Address in Dubai,2,NONAC,02-10-2002
18,1018,Test Hotel 18,Some Address in Dubai,3,FREEPARKING,02-10-2002
19,1019,Test Hotel 19,Some Address in Dubai,1,AC,02-10-2002
19,1019,Test Hotel 19,Some Address in Dubai,2,NONAC,02-10-2002
19,1019,Test Hotel 19,Some Address in Dubai,3,FREEPARKING,02-10-2002
20,1020,Test Hotel 20,Some Address in Dubai,1,AC,02-10-2002
20,1020,Test Hotel 20,Some Address in Dubai,2,NONAC,02-10-2002
20,1020,Test Hotel 20,Some Address in Dubai,3,FREEPARKING,02-10-2002
21,1021,Test Hotel 21,Some Address in Dubai,1,AC,02-10-2002
21,1021,Test Hotel 21,Some Address in Dubai,2,NONAC,02-10-2002
21,1021,Test Hotel 21,Some Address in Dubai,3,FREEPARKING,02-10-2002
22,1022,Test Hotel 22,Some Address in Dubai,1,AC,02-10-2002
22,1022,Test Hotel 22,Some Address in Dubai,2,NONAC,02-10-2002
22,1022,Test Hotel 22,Some Address in Dubai,3,FREEPARKING,02-10-2002
23,1023,Test Hotel 23,Some Address in Dubai,1,AC,02-10-2002
23,1023,Test Hotel 23,Some Address in Dubai,2,NONAC,02-10-2002
23,1023,Test Hotel 23,Some Address in Dubai,3,FREEPARKING,02-10-2002
24,1024,Test Hotel 24,Some Address in Dubai,1,AC,02-10-2002
24,1024,Test Hotel 24,Some Address in Dubai,2,NONAC,02-10-2002
24,1024,Test Hotel 24,Some Address in Dubai,3,FREEPARKING,02-10-2002
25,1025,Test Hotel 25,Some Address in Dubai,1,AC,02-10-2002
25,1025,Test Hotel 25,Some Address in Dubai,2,NONAC,02-10-2002
25,1025,Test Hotel 25,Some Address in Dubai,3,FREEPARKING,02-10-2002
26,1026,Test Hotel 26,Some Address in Dubai,1,AC,02-10-2002
26,1026,Test Hotel 26,Some Address in Dubai,2,NONAC,02-10-2002
26,1026,Test Hotel 26,Some Address in Dubai,3,FREEPARKING,02-10-2002
27,1027,Test Hotel 27,Some Address in Dubai,1,AC,02-10-2002
27,1027,Test Hotel 27,Some Address in Dubai,2,NONAC,02-10-2002
27,1027,Test Hotel 27,Some Address in Dubai,3,FREEPARKING,02-10-2002
28,1028,Test Hotel 28,Some Address in Dubai,1,AC,02-10-2002
28,1028,Test Hotel 28,Some Address in Dubai,2,NONAC,02-10-2002
28,1028,Test Hotel 28,Some Address in Dubai,3,FREEPARKING,02-10-2002
29,1029,Test Hotel 29,Some Address in Dubai,1,AC,02-10-2002
29,1029,Test Hotel 29,Some Address in Dubai,2,NONAC,02-10-2002
29,1029,Test Hotel 29,Some Address in Dubai,3,FREEPARKING,02-10-2002
30,1030,Test Hotel 30,Some Address in Dubai,1,AC,02-10-2002
30,1030,Test Hotel 30,Some Address in Dubai,2,NONAC,02-10-2002
30,1030,Test Hotel 30,Some Address in Dubai,3,FREEPARKING,02-10-2002
31,1031,Test Hotel 31,Some Address in Dubai,1,AC,02-10-2002
31,1031,Test Hotel 31,Some Address in Dubai,2,NONAC,02-10-2002
31,1031,Test Hotel 31,Some Address in Dubai,3,FREEPARKING,02-10-2002
32,1032,Test Hotel 32,Some Address in Dubai,1,AC,02-10-2002
32,1032,Test Hotel 32,Some Address in Dubai,2,NONAC,02-10-2002
32,1032,Test Hotel 32,Some Address in Dubai,3,FREEPARKING,02-10-2002
33,1033,Test Hotel 33,Some Address in Dubai,1,AC,02-10-2002
33,1033,Test Hotel 33,Some Address in Dubai,2,NONAC,02-10-2002
33,1033,Test Hotel 33,Some Address in Dubai,3,FREEPARKING,02-10-2002
34,1034,Test Hotel 34,Some Address in Dubai,1,AC,02-10-2002
